,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
216,"""21334""","McDONALD'S, Strawberry Sundae",178.0,1.0 item (6.3 oz),3.574,0.338,2.87,45.07,0.069,,,,,,,,,,,,,,0.0,,,0.012,,0.000,0.0,,,,,,,,,,,,,,,0.233,0.027,0.036,0.863,0.025,3.86,0.037,,0.000,,,,,,,1173,,0.548,,,,,,,,,,,,,0.347,,0.87,1.737,,144,0.153,0.089,0.000,1.33,,,,,,,,,0.00,,,0.304,308.0,,,,,,,,482.0,281.0,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,1.623,,,,,,,,,,,,8.4,
217,"""21333""","McDONALD'S, Vanilla Reduced Fat Ice Cream Cone",90.0,1.0 item (3.2 oz),2.169,0.267,0.14,17.54,0.039,,,,,,,,,,,,,,0.0,,,0.007,,0.000,0.1,,,,,,,,,,,,,,,0.448,0.021,,0.522,0.020,0.62,0.022,,0.000,,,,,,,610,,0.329,,,,,,,,,,,,,0.221,,0.52,1.085,,,0.091,0.049,0.001,0.81,,,,,,,,,0.00,,,0.242,174.0,,,,,,,,289.0,146.0,,,,,,,,,,,,,,,,,,,,23.72,,,,,,,,,,,,,,,1.017,,,,,,,,,,,,5.03,
218,"""21283""","PAPA JOHN'S 14"" Cheese Pizza, Original Crust",117.0,1.0 slice,4.529,2.305,2.06,6.22,0.530,,,,,0.195,1.33,,,,,0.0,,0.025,0.0,,,0.008,,0.000,2.2,,55,,,,0.000,,0.036,63,,,,,,3.585,0.146,0.041,1.02,0.200,1.74,0.048,128,0.001,,,,,,,1274,,0.660,,,,,,,1.43,,194.0,,,,1.433,0.000,0.80,2.897,8.8,70,0.184,0.143,0.014,2.71,0.40,0.000,,,,,,,0.12,0.000,,1.86,161.0,,,,,,,,345.0,304.0,,,,,,,,53,0.395,90,,,,,,,,,,38.31,,,0.0,,,,,,,,,0.0,,28.0,2.71,,0.0,,,,,,,0.0,,0.068,0.3,
219,"""21286""","PAPA JOHN'S 14"" Cheese Pizza, Thin Crust",87.0,1.0 slice,5.396,1.447,0.76,3.35,0.408,0.961,,,,,,,0.644,,,0.0,,0.030,0.0,2.995,0.914,0.019,,,2.0,,,,,,0.000,,0.041,67,,,,,,0.779,0.130,0.044,1.476,0.089,0.82,0.054,,0.002,,,,0.416,,0.79,1074,,0.711,,,,,,,2.71,0.270,207.0,,,,0.188,0.000,0.72,5.222,4.9,73,0.194,,0.017,2.16,0.79,0.000,,,,,,,0.06,0.000,,1.305,139.0,,1.188,13.62,0.119,,,,339.0,257.0,,0.124,16.09,24,0.422,0.026,25.2,,,,0.476,2.623,213.0,,,,,,,22.85,,,,,,,,,0.396,,0.167,,,,4.998,0.287,9.9,,,,,,,0.0,0.196,0.070,0.25,
220,"""21284""","PAPA JOHN'S 14"" Pepperoni Pizza, Original Crust",123.0,1.0 slice,6.037,2.713,2.02,5.95,0.530,1.316,,,,0.215,1.35,0.806,0.857,,,0.0,,0.052,0.0,4.207,1.109,0.023,,0.018,1.5,,,,,,0.000,,0.052,64,,,,,,3.967,0.157,0.079,1.528,0.221,1.70,0.064,125,0.001,,,,0.590,0.000,1.39,1414,,0.722,,,,,,,1.49,0.525,187.0,,,,0.598,0.000,0.97,4.812,7.5,71,0.176,0.199,0.015,3.11,0.39,0.012,,,,,,,0.10,0.000,,2.182,184.0,,1.688,14.59,0.230,,,,362.0,338.0,,0.156,26.78,32,0.556,0.026,36.0,53,0.428,89,0.648,3.204,241.0,,,,,,,36.95,,,,,,,,,0.621,,0.151,0.0,0.806,28.0,4.43,0.412,0.0,,,,,,,0.0,0.261,0.063,0.28,
221,"""21285""","PAPA JOHN'S 14"" The Works Pizza, Original Crust",153.0,1.0 slice,5.76,2.872,2.39,7.41,0.356,1.270,,,,,,,0.834,,,0.0,,0.069,0.0,4.377,1.175,0.041,,,3.8,,,,,,0.000,,0.041,41,,,,,,4.904,0.228,0.061,1.48,0.237,2.29,0.041,141,0.000,,,,0.604,,1.87,1535,,0.584,,,,,,,1.62,0.581,151.0,,,,0.447,0.000,1.10,5.588,8.6,47,0.133,,0.012,3.46,0.41,0.003,,,,,,,0.11,0.000,,2.563,245.0,,1.576,15.62,0.252,,,,263.0,367.0,,0.161,28.23,32,0.517,0.031,41.0,58,0.431,99,0.635,3.239,245.0,,,,,,,40.84,,,,,,,,,0.673,,0.118,,,,5.179,0.421,0.0,,,,,,,,,,0.24,
222,"""21271""","PIZZA HUT 12"" Cheese Pizza, Hand-Tossed Crust",96.0,1.0 slice,4.838,1.765,0.62,3.24,0.253,1.094,,,,0.188,0.67,0.638,0.74,,,0.0,,0.024,0.0,3.397,0.806,0.010,,0.000,1.7,,66,,,,,,,69,,,,,,3.163,0.088,0.046,1.1,0.188,0.51,0.053,,0.000,,,,0.395,0.000,1.67,1087,,0.715,,,,,,,1.74,0.327,201.0,,,,0.246,,0.67,2.802,9.7,79,0.209,0.109,0.013,2.56,0.56,,,,,,,,0.07,,,1.563,166.0,,1.304,10.45,0.126,,,,418.0,260.0,,0.123,20.36,23,0.501,0.020,19.7,,,,0.542,2.398,239.0,,,,,,,29.97,,,0.0,,,,,,0.468,,0.183,,,,2.589,0.341,0.1,,,,,,,0.0,0.253,0.080,0.36,
223,"""21272""","PIZZA HUT 12"" Cheese Pizza, Pan Crust",100.0,1.0 slice,5.184,2.752,0.42,3.21,0.243,1.044,,,,0.304,1.06,0.615,0.693,,,0.0,,0.027,0.0,3.323,0.753,0.012,,0.000,1.7,,,,,,,,,73,,,,,,3.91,0.101,0.048,1.203,0.304,0.41,0.053,,0.000,,,,0.379,0.000,1.83,1170,,0.723,,,,,,,3.48,0.322,208.0,,,,0.251,,0.64,3.213,15.5,73,0.212,0.107,0.018,2.39,1.15,,,,,,,,0.07,,,2.433,168.0,,1.253,12.56,0.124,,,,260.0,280.0,,0.125,21.22,21,0.479,0.025,19.4,,,,0.518,2.611,241.0,,,,,,,29.93,,,,,,,,,0.451,,0.187,,,,2.997,0.326,0.0,,,,,,,0.0,0.266,0.082,0.47,
224,"""21273""","PIZZA HUT 12"" Cheese Pizza, THIN 'N CRISPY Crust",69.0,1.0 slice,4.758,1.172,0.33,1.84,0.150,0.958,,,,0.122,0.58,0.549,0.685,,,0.0,,0.021,0.0,2.812,0.711,,,0.000,1.1,,,,,,,,,74,,,,,,1.998,0.066,0.046,1.096,0.124,0.41,0.052,,0.000,,,,0.346,0.002,0.71,874,,0.725,,,,,,,0.72,0.261,192.0,,,,0.19,,0.61,2.627,5.7,74,0.213,0.075,0.010,2.21,0.24,,,,,,,,0.05,,,1.032,132.0,,1.115,9.73,0.115,,,,258.0,209.0,,0.109,13.57,23,0.473,0.017,15.9,,,,0.48,2.309,219.0,,,,,,,19.76,,,,,,,,,0.402,,0.187,,,,2.438,0.295,0.0,,,,,,,0.0,0.224,0.082,0.34,
225,"""21274""","PIZZA HUT 12"" Pepperoni Pizza, Hand-Tossed Crust",96.0,1.0 slice,4.955,1.953,0.82,3.52,0.307,1.025,,,,0.182,0.72,0.600,0.733,,,0.0,,0.052,0.0,3.209,0.821,0.013,,0.024,1.6,,,,,,,,,54,,,,,,3.867,0.100,0.050,1.257,0.182,0.53,0.041,,0.000,,,,0.401,0.000,1.76,1124,,0.565,,,,,,,1.68,0.433,149.0,,,,0.26,,0.65,3.857,8.2,55,0.152,0.146,0.011,2.76,0.56,,,,,,,,0.07,,,1.72,199.0,,1.181,10.92,0.195,,,,196.0,269.0,,0.118,21.94,25,0.464,0.021,20.4,,,,0.516,2.653,209.0,,,,,,,30.29,,,,,,,,,0.516,,0.132,,,,3.555,0.347,0.0,,,,,,,0.0,0.261,0.058,0.36,
226,"""21275""","PIZZA HUT 12"" Pepperoni Pizza, Pan Crust",96.0,1.0 slice,5.06,3.326,0.36,3.07,0.276,0.914,,,,0.343,0.75,0.541,0.626,,,0.0,,0.059,0.0,3.034,0.709,0.016,,0.024,1.7,,,,,,,,,44,,,,,,3.686,0.101,0.049,1.317,0.343,0.38,0.037,,0.000,,,,0.359,0.000,1.93,1196,,0.519,,,,,,,2.96,0.384,140.0,,,,0.244,,0.61,4.238,18.5,45,0.138,0.134,0.019,2.43,1.08,,,,,,,,0.07,,,2.936,191.0,,1.089,13.64,0.177,,,,164.0,286.0,,0.111,22.20,24,0.41,0.029,19.8,,,,0.468,2.761,197.0,,,,,,,29.27,,,,,,,,,0.466,,0.122,,,,3.949,0.309,0.0,,,,,,,0.0,0.237,0.053,0.34,
227,"""21276""","PIZZA HUT 12"" Super Supreme Pizza, Hand-Tossed Crust",127.0,1.0 slice,5.784,2.196,1.14,4.71,0.338,1.182,,,,0.193,0.98,0.692,0.902,,,0.0,,0.061,0.0,3.613,1.055,0.000,,0.032,2.5,,,,,,,,,44,,,,,,4.549,0.161,0.064,1.499,0.193,0.94,0.05,,0.000,,,,0.488,0.000,2.20,1289,,0.621,,,,,,,1.12,0.561,164.0,,,,0.307,,0.79,5.02,9.3,46,0.157,0.185,0.003,3.25,0.36,,,,,,,,0.09,,,1.939,296.0,,1.281,13.61,0.254,,,,174.0,309.0,,0.133,20.99,25,0.54,0.025,24.8,,,,0.616,3.152,254.0,,,,,,,32.54,,,,,,,,,0.676,,0.138,,,,4.657,0.410,0.0,,,,,,,0.0,0.271,0.060,0.36,
228,"""21293""","PIZZA HUT 14"" Cheese Pizza, Hand-Tossed Crust",105.0,1.0 slice,5.06,1.607,0.98,3.29,0.483,,0.09,0.004,50,0.173,0.60,,,,,0.0,0.175,0.045,0.0,,,0.017,,0.004,2.5,0.001,,1.4,0.04,,,,,,,,,,,4.515,0.108,0.048,0.921,0.176,0.60,0.054,156,0.012,,,,,,,1210,0.201,0.673,,,,0.064,43.55,,1.19,,219.0,0.025,,0.071,0.231,0.004,0.40,3.203,8.1,,0.196,0.084,0.014,2.82,0.38,0.002,,,,0.111,708.0,0.112,0.14,0.004,,1.385,192.0,,,,,0.064,,0.00,,,,,,,,,,63,0.416,113,,,,,,,,,,35.09,0.000,,,,,1.278,,0.346,,,,0.0,,25.0,2.948,,0.0,0.011,0.014,0.265,,,,0.0,,0.062,0.35,0.042
229,"""21294""","PIZZA HUT 14"" Cheese Pizza, Pan Crust",112.0,1.0 slice,4.917,3.492,0.53,2.77,0.437,,0.094,0.006,45,0.392,0.83,,,,,0.0,0.199,0.052,0.0,,,0.018,,0.004,2.4,0.000,,1.2,0.03,,,,,,,,,,,3.898,0.110,0.049,0.976,0.395,0.45,0.054,170,0.011,,,,,,,1294,0.224,0.663,,,,0.065,47.8,,3.07,,215.0,0.025,,0.072,0.246,0.004,0.37,3.086,19.0,,0.194,0.090,0.024,2.65,0.88,0.002,,,,0.111,650.0,0.118,0.15,0.004,,3.051,190.0,,,,,0.065,,0.00,,,,,,,,,,74,0.442,119,,,,,,,,,,36.79,0.000,,,,,2.942,,0.259,,,,0.0,,24.0,2.824,,0.0,0.010,0.012,0.289,,,,0.01,,0.064,0.45,0.044
230,"""21512""","PIZZA HUT 14"" Cheese Pizza, Stuffed Crust",117.0,1.0 slice,6.815,1.810,0.78,3.39,0.378,1.252,0.167,0.005,,0.176,0.78,0.749,0.694,0.001,,0.26,0.222,0.032,0.0,3.970,0.950,0.022,,0.004,2.0,0.000,53,,,,,,,129,,,0.0,14.31,1094,4.403,0.095,0.069,1.166,0.181,0.47,0.108,,0.013,,,,0.459,0.005,1.29,1340,0.257,1.051,,,,0.085,50.74,0,1.04,0.358,278.0,0.035,102,0.112,0.39,0.004,0.47,3.242,,137,0.322,0.139,0.014,3.23,0.35,0.001,,,,0.163,720.0,0.205,0.15,0.007,,1.577,268.0,31.5,2.035,13.61,0.197,0.084,,0.00,598.0,321.0,0.000,0.145,27.73,35,0.469,0.023,18.7,,,,0.67,3.299,291.0,,,,,,,35.1,0.000,,1.0,,2.659,1.444,,0.526,0.515,,0.273,,,,2.882,0.369,,0.013,0.020,0.342,,,,0.0,0.314,0.106,0.7,0.049
231,"""21295""","PIZZA HUT 14"" Cheese Pizza, THIN 'N CRISPY Crust",79.0,1.0 slice,4.821,1.838,0.73,2.47,0.276,,0.103,0.004,32,0.192,0.54,,,,,0.0,0.186,0.029,0.0,,,0.017,,0.003,1.9,0.001,,2.2,0.03,,,,,,,,,,,3.302,0.081,0.051,0.911,0.195,0.47,0.06,107,0.011,,,,,,,1010,0.212,0.727,,,,0.065,28.65,,0.83,,224.0,0.025,,0.077,0.19,0.003,0.40,2.579,6.1,,0.214,0.047,0.014,2.64,0.28,0.002,,,,0.105,677.0,0.13,0.16,0.005,,1.599,156.0,,,,,0.065,,0.00,,,,,,,,,,44,0.301,76,,,,,,,,,,27.03,0.000,,,,,1.488,,0.190,,,,,,,2.34,,0.6,0.010,0.014,0.276,,,,0.01,,0.070,0.4,0.046
232,"""21296""","PIZZA HUT 14"" Pepperoni Pizza, Hand-Tossed Crust",110.0,1.0 slice,5.944,2.224,0.91,3.1,0.605,,0.078,0.010,48,0.2,0.71,,,,,0.0,0.200,0.083,0.0,,,0.030,,0.028,2.9,0.004,,2.8,0.02,,,,,,,,,,,5.302,0.117,0.063,1.315,0.205,0.58,0.051,175,0.017,,,,,,,1340,0.224,0.613,,,,0.06,44.16,,1.25,,183.0,0.023,,0.064,0.264,0.003,0.56,4.772,9.3,,0.166,0.099,0.015,3.16,0.39,0.024,,,,0.194,835.0,0.099,0.10,0.007,,1.923,228.0,,,,,0.06,,0.00,,,,,,,,,,75,0.460,123,,,,,,,,,,35.32,0.000,,,,,1.817,,0.440,,,,0.0,,26.0,4.364,,0.0,0.013,0.028,0.285,,,,0.01,,0.054,0.3,0.045
233,"""21297""","PIZZA HUT 14"" Pepperoni Pizza, Pan Crust",113.0,1.0 slice,5.45,3.852,0.42,2.2,0.475,,0.075,0.010,52,0.392,1.04,,,,,0.0,0.186,0.084,0.0,,,0.029,,0.027,2.3,0.003,,2.4,0.02,,,,,,,,,,,4.237,0.118,0.060,1.289,0.395,0.37,0.046,162,0.016,,,,,,,1374,0.208,0.566,,,,0.059,46.52,,3.41,,166.0,0.021,,0.06,0.237,0.005,0.58,4.344,24.3,,0.151,0.102,0.023,2.84,1.06,0.017,,,,0.18,764.0,0.095,0.09,0.006,,3.363,211.0,,,,,0.059,,0.00,,,,,,,,,,64,0.480,116,,,,,,,,,,35.92,0.000,,,,,3.26,,0.365,,,,0.0,,25.0,3.962,,0.0,0.012,0.028,0.267,,,,0.05,,0.051,0.42,0.044
234,"""21491""","PIZZA HUT 14"" Pepperoni Pizza, THIN 'N CRISPY Crust",80.0,1.0 slice,5.339,2.506,0.70,2.23,0.272,,0.063,0.010,,0.213,,,,,,,,,0.0,,,0.030,,0.032,1.7,0.005,,,,,,,,,,,,,,3.64,0.093,0.062,1.309,0.217,0.42,0.044,,0.018,,,,,,,1114,0.221,0.563,,,,0.055,26.86,,,,,0.022,,0.059,0.184,0.003,0.57,4.244,,,0.143,0.088,0.015,2.78,,0.024,,,,0.184,774.0,0.076,0.10,0.006,,2.186,178.0,,,,,0.055,,0.00,,,,,,,,,,,,,,,,,,,,,,26.13,0.000,,,,,2.086,,,,,,,,,3.861,,,0.014,0.030,0.276,,,,,,,0.32,0.044
235,"""21497""","PIZZA HUT 14"" Sausage Pizza, Hand-Tossed Crust",119.0,1.0 slice,6.496,2.758,1.04,3.24,0.428,,0.08,0.013,,0.214,,,,,,,,,0.0,,,0.029,,0.048,2.7,0.007,,,,,,,,,,,,,,5.058,0.124,0.060,1.489,0.219,0.63,0.044,,0.026,,,,,,,1428,0.199,0.618,,,,0.063,50.66,,,,,0.021,,0.061,0.262,0.005,0.58,5.631,,,0.163,0.107,0.017,3.12,,0.002,,,,0.233,798.0,0.098,0.11,0.007,,2.398,251.0,,,,,0.063,,0.00,,,,,,,,,,,,,,,,,,,,,,34.97,0.000,,,,,2.288,,,,,,,,,5.203,,,0.018,0.038,0.262,,,,,,,0.27,0.045
236,"""21498""","PIZZA HUT 14"" Sausage Pizza, Pan Crust",125.0,1.0 slice,6.069,4.654,0.46,2.27,0.500,,0.07,0.014,,0.435,,,,,,,,,0.0,,,0.030,,0.048,2.5,0.007,,,,,,,,,,,,,,4.787,0.126,0.059,1.489,0.440,0.41,0.041,,0.025,,,,,,,1502,0.181,0.562,,,,0.069,54.16,,,,,0.020,,0.056,0.25,0.005,0.60,5.341,,,0.146,0.113,0.025,2.73,,0.004,,,,0.226,745.0,0.091,0.10,0.009,,4.072,240.0,,,,,0.069,,0.00,,,,,,,,,,,,,,,,,,,,,,36.95,0.000,,,,,3.96,,,,,,,,,4.918,,,0.018,0.037,0.250,,,,,,,0.41,0.045
237,"""21496""","PIZZA HUT 14"" Sausage Pizza, THIN 'N CRISPY Crust",92.0,1.0 slice,6.162,3.064,0.74,2.41,0.331,,0.086,0.014,,0.241,,,,,,,,,0.0,,,0.030,,0.049,2.2,0.007,,,,,,,,,,,,,,4.14,0.093,0.062,1.467,0.246,0.49,0.047,,0.026,,,,,,,1242,0.196,0.647,,,,0.064,34.3,,,,,0.023,,0.064,0.202,0.006,0.45,5.008,,,0.171,0.074,0.016,2.91,,0.002,,,,0.225,772.0,0.11,0.11,0.008,,2.669,202.0,,,,,0.064,,0.03,,,,,,,,,,,,,,,,,,,,,,26.4,0.000,,,,,2.559,,,,,,,,,4.595,,,0.017,0.040,0.259,,,,,,,0.3,0.046
238,"""21298""","PIZZA HUT 14"" Super Supreme Pizza, Hand-Tossed Crust",123.0,1.0 slice,5.187,2.306,1.27,3.74,0.451,1.200,,,,,,,0.875,,,0.0,,0.055,0.0,3.595,1.288,0.037,,0.033,2.8,,,2.5,0.04,0.601,,,,36,,,,,,2.927,0.183,0.062,1.331,0.205,0.82,0.043,102,0.000,,,,0.620,,1.38,1277,,0.538,,,,,,,1.11,0.539,128.0,,,,0.357,0.000,1.03,4.68,10.0,39,0.123,0.121,0.000,3.11,0.36,0.000,,,,,,,0.11,0.000,,1.999,256.0,,1.255,13.47,0.264,,,,192.0,305.0,,0.17,24.99,34,0.469,0.025,17.8,43,0.351,73,0.648,2.911,225.0,,,,,,,31.99,,,,,,,,,0.657,,0.101,,,,4.28,0.407,0.0,,,,,,,0.02,0.246,0.043,0.17,
239,"""21525""","PIZZA HUT, breadstick, parmesan garlic",43.0,1.0 breadstick,1.275,2.649,0.00,0.48,0.212,,0.012,0.001,,0.299,,,,,,,,,0.0,,,0.004,,0.002,1.0,0.000,,0.5,,,,,,,,,,,,3.044,0.046,0.010,0.286,0.311,0.00,0.009,,0.001,,,,,,,617,0.027,0.095,,,,0.013,12.2,,,,,0.003,,0.011,0.241,0.002,,1.195,9.1,,0.026,0.044,0.009,0.88,,0.001,,,,0.026,232.0,0.016,0.00,0.001,,2.326,57.0,,,,,0.013,,0.00,,,,,,,,,,,,,,,,,,,,,,19.13,0.001,,,,,2.306,,0.168,,,,,,,1.129,,0.0,0.001,0.004,0.040,,,,,,,0.0,0.008
240,"""21224""","Pizza, cheese topping, regular crust, frozen, cooked",81.0,1.0 serving 9 servings per 24 oz package,3.46,1.541,0.97,2.89,0.171,0.706,0.043,,0,,,,0.477,,25.4,,,,,,,,,,1.8,,28,,,,,,,47,,0,,,,1.779,0.184,,0.895,0.135,0.75,,,,,,,0.307,,0.60,908,,0.367,,,,,,,,,,,,,0.209,0.000,0.63,3.439,5.3,53,0.123,0.067,,1.67,,0.000,,,,,,,,,,1.361,123.0,,1.007,9.95,0.104,,,,277.0,217.0,,0.138,15.18,11,0.259,,17.4,,0.236,31,0.38,1.652,145.0,0.0,11.6,0.452,0.0,11.6,0.452,23.51,,,0.0,,,,,,0.322,,0.091,0.0,0.483,19.0,3.315,0.226,,,,,0.0,,1.0,,,,0.32,
241,"""21225""","Pizza, cheese topping, rising crust, frozen, cooked",139.0,1.0 serving 6 servings per 29.25 oz package,5.317,1.920,2.08,7.08,0.335,1.497,0.053,,0,,,,0.902,,,,,,,,,,,,3.5,,33,,,,,,,85,,0,,,,2.759,0.354,,1.261,0.260,1.61,,,,,,,0.627,,3.38,1512,,0.719,,,,,,,,,,,,,0.342,0.000,0.97,3.055,10.4,96,0.228,0.128,,3.45,,0.000,,,,,,,,,,1.605,243.0,,2.164,12.2,0.168,,,,499.0,361.0,,0.261,28.44,22,0.531,,48.4,,0.595,51,0.801,2.53,331.0,0.0,23.8,0.951,0.0,23.8,0.951,45.74,,,0.0,,,,,,0.659,,0.170,0.0,0.991,36.0,2.862,0.459,,,,,0.0,,2.6,,,,,
242,"""21505""","Pizza, cheese topping, thin crust, frozen, cooked",69.0,1.0 slice,3.932,1.170,0.86,2.56,0.071,,0.086,0.002,25,0.073,0.51,,,,,0.0,0.131,0.014,0.0,,,0.007,,0.003,2.1,0.000,21,,,,,,,44,,0,,,,0.885,0.063,0.033,0.673,0.076,0.61,0.037,84,0.007,,,,,,,758,0.145,0.492,,,,0.047,31.75,0,0.72,,157.0,0.014,67,0.052,0.088,0.002,0.43,2.089,2.9,50,0.141,0.090,0.007,1.52,0.21,0.001,,,,0.085,325.0,0.11,0.17,0.004,0.0,1.067,139.0,,,,,0.047,,0.07,258.0,181.0,0.000,,,,,,,35,0.226,60,,,,0.0,13.0,,0.0,13.0,,19.87,0.000,,0.0,,1.800,0.988,,0.343,,,,0.0,,17.0,1.931,,1.9,0.006,0.007,0.191,0.0,,0.1,0.01,,0.052,0.26,0.033
243,"""21226""","Pizza, meat and vegetable topping, regular crust, frozen, cooked",143.0,1.0 serving 5 servings per 24.2 oz package,7.269,3.687,1.89,6.94,0.309,,0.053,,0,,,,,,,,,,,,,,,,3.1,,79,,,,,,,83,,0,,,,3.402,0.243,,2.091,0.315,3.59,,,,,,,,,,1649,,0.632,,,,,,,,,,,,,0.333,0.000,0.89,8.423,11.7,93,0.173,0.213,,3.49,,0.003,,,,,,,0.20,,0.0,3.276,299.0,36.0,,,,,,,485.0,395.0,,,,,,,,,0.462,49,,,,0.0,35.0,,0.0,35.0,,35.95,,,0.0,,,,,,,,,0.0,,36.0,7.949,,,,,,0.0,,4.9,,,,,
244,"""21227""","Pizza, meat and vegetable topping, rising crust, frozen, cooked",170.0,1.0 serving 6 servings per 34.98 oz package,7.796,3.213,2.89,12.34,0.425,,0.051,,49,,,,,,,,,,,,,,,,3.9,,99,,,,,,,104,,0,,,,3.663,0.357,,2.186,0.284,5.10,,,,,,,,,,1930,,0.724,,,,,,,,,,,,,0.35,0.000,1.36,7.383,11.4,116,0.214,0.238,,4.44,,0.002,,,,,,,0.27,,0.0,2.837,321.0,,,,,,,,604.0,461.0,,,,,,,,70,0.549,119,,,,0.0,41.3,,0.0,41.3,,48.93,,,0.0,,,,,,,,,0.0,,46.0,6.825,,,,,,0.0,,7.1,,,,,
245,"""22902""","Pizza, meat topping, thick crust, frozen, cooked",103.0,"1.0 slice 1/8 of 12"" pizza",4.411,2.571,,4.0,0.267,,0.053,0.009,46,0.23,0.91,,,,,,,,0.0,,,0.011,,0.022,2.4,0.004,24,,,,,,,42,,0,,,,2.644,0.116,0.041,1.077,0.233,,0.034,145,0.014,,,,,,,1179,0.152,0.466,0.0,1.75,,0.047,44.57,0,,,,0.014,96,0.046,0.14,0.003,0.46,3.456,7.8,50,0.123,0.106,0.014,2.77,,0.006,,,,0.161,711.0,0.061,,,,2.261,207.0,,,,,0.047,,,301.0,282.0,0.002,,,,,,,58,0.369,104,,,,0.0,27.1,,0.0,27.1,,31.68,0.000,,0.0,,3.033,2.181,,0.464,,,,0.0,,26.0,3.171,,,0.011,0.019,0.200,0.0,,1.1,,,,,
246,"""22903""","Pizza, pepperoni topping, regular crust, frozen, cooked",127.0,"0.25 pizza 12"" diameter",6.13,3.429,1.42,4.31,0.394,,0.083,0.010,38,0.17,1.71,,,,,0.41,0.188,0.084,0.0,,,0.024,,0.029,2.5,0.004,33,,,,,,,88,,0,,,,4.108,0.145,0.055,1.269,0.177,1.21,0.062,136,0.017,,,,,,,1458,0.208,0.596,,,,0.058,57.67,0,2.12,,213.0,0.019,0,0.057,0.419,0.005,0.77,5.207,9.0,88,0.144,0.192,0.011,3.04,0.00,0.022,,,,0.271,749.0,0.113,0.14,0.006,0.0,3.152,304.0,18.0,,,,0.058,,0.00,291.0,348.0,0.003,,,,,,,58,0.450,95,,,,0.0,29.3,,0.0,29.3,,31.36,0.000,,0.0,,4.534,3.053,,0.348,,,,0.0,,34.0,4.723,,,0.013,0.032,0.267,0.0,,2.4,0.0,,0.048,0.46,0.041
